"pais","casos","casos_acumulados","fallecidos","fallecidos_acumulados","fecha","bbdd","region"
"Albania",876,78127,11,1380,2021-02-01,"OMS","Global"
"Albania",865,78992,13,1393,2021-02-02,"OMS","Global"
"Albania",942,79934,5,1398,2021-02-03,"OMS","Global"
"Albania",1007,80941,6,1404,2021-02-04,"OMS","Global"
"Albania",1052,81993,14,1418,2021-02-05,"OMS","Global"
"Albania",1089,83082,15,1433,2021-02-06,"OMS","Global"
"Albania",1130,84212,13,1446,2021-02-07,"OMS","Global"
"Albania",1124,85336,14,1460,2021-02-08,"OMS","Global"
"Albania",953,86289,12,1472,2021-02-09,"OMS","Global"
"Albania",1239,87528,16,1488,2021-02-10,"OMS","Global"
"Albania",1143,88671,15,1503,2021-02-11,"OMS","Global"
"Albania",1105,89776,14,1517,2021-02-12,"OMS","Global"
"Albania",1059,90835,14,1531,2021-02-13,"OMS","Global"
"Albania",1152,91987,12,1543,2021-02-14,"OMS","Global"
"Albania",1088,93075,12,1555,2021-02-15,"OMS","Global"
"Albania",775,93850,12,1567,2021-02-16,"OMS","Global"
"Albania",801,94651,15,1582,2021-02-17,"OMS","Global"
"Albania",1075,95726,18,1600,2021-02-18,"OMS","Global"
"Albania",1112,96838,17,1617,2021-02-19,"OMS","Global"
"Albania",1071,97909,19,1636,2021-02-20,"OMS","Global"
"Albania",1153,99062,17,1653,2021-02-21,"OMS","Global"
"Albania",1184,100246,13,1666,2021-02-22,"OMS","Global"
"Albania",1039,101285,15,1681,2021-02-23,"OMS","Global"
"Albania",1021,102306,15,1696,2021-02-24,"OMS","Global"
"Albania",1021,103327,19,1715,2021-02-25,"OMS","Global"
"Albania",986,104313,21,1736,2021-02-26,"OMS","Global"
"Albania",916,105229,20,1756,2021-02-27,"OMS","Global"
"Albania",986,106215,19,1775,2021-02-28,"OMS","Global"
"Albania",952,107167,21,1796,2021-03-01,"OMS","Global"
"Albania",764,107931,20,1816,2021-03-02,"OMS","Global"
"Albania",892,108823,19,1835,2021-03-03,"OMS","Global"
"Albania",851,109674,21,1856,2021-03-04,"OMS","Global"
"Albania",847,110521,20,1876,2021-03-05,"OMS","Global"
"Albania",780,111301,21,1897,2021-03-06,"OMS","Global"
"Albania",777,112078,21,1918,2021-03-07,"OMS","Global"
"Albania",819,112897,21,1939,2021-03-08,"OMS","Global"
"Albania",683,113580,17,1956,2021-03-09,"OMS","Global"
"Albania",629,114209,13,1969,2021-03-10,"OMS","Global"
"Albania",631,114840,17,1986,2021-03-11,"OMS","Global"
"Albania",602,115442,16,2002,2021-03-12,"OMS","Global"
"Albania",681,116123,16,2018,2021-03-13,"OMS","Global"
"Albania",690,116813,12,2030,2021-03-14,"OMS","Global"
"Albania",661,117474,15,2045,2021-03-15,"OMS","Global"
"Albania",543,118017,15,2060,2021-03-16,"OMS","Global"
"Albania",475,118492,17,2077,2021-03-17,"OMS","Global"
"Albania",446,118938,15,2092,2021-03-18,"OMS","Global"
"Albania",590,119528,14,2106,2021-03-19,"OMS","Global"
"Albania",494,120022,16,2122,2021-03-20,"OMS","Global"
"Albania",519,120541,11,2133,2021-03-21,"OMS","Global"
"Andorra",0,0,0,0,2020-01-03,"OMS","Global"
"Andorra",0,0,0,0,2020-01-04,"OMS","Global"
"Andorra",0,0,0,0,2020-01-05,"OMS","Global"
"Andorra",0,0,0,0,2020-01-06,"OMS","Global"
"Andorra",0,0,0,0,2020-01-07,"OMS","Global"
"Andorra",0,0,0,0,2020-01-08,"OMS","Global"
"Andorra",0,0,0,0,2020-01-09,"OMS","Global"
"Andorra",0,0,0,0,2020-01-10,"OMS","Global"
"Andorra",0,0,0,0,2020-01-11,"OMS","Global"
"Andorra",0,0,0,0,2020-01-12,"OMS","Global"
"Andorra",0,0,0,0,2020-01-13,"OMS","Global"
"Andorra",0,0,0,0,2020-01-14,"OMS","Global"
"Andorra",0,0,0,0,2020-01-15,"OMS","Global"
"Andorra",0,0,0,0,2020-01-16,"OMS","Global"
"Andorra",0,0,0,0,2020-01-17,"OMS","Global"
"Andorra",0,0,0,0,2020-01-18,"OMS","Global"
